vector,label
"[35.97974745962456, 34.781690332806974, 34.92046485484444, 34.719840598031496, 34.91864222041418]",0
"[35.097067776432716, 35.080732071549605, 35.26440811503948, 35.71686328359023, 34.951814171284596]",0
"[34.50675170582143, 34.52707274939615, 34.73369819272035, 34.33032167695243, 35.330011929775594]",0
"[34.80071457454757, 34.87560600867886, 34.9992434068648, 34.44135183016183, 34.65547345568958]",0
"[35.26988461027519, 35.247415652314515, 34.82273122771974, 35.72421396565018, 34.477709230976906]",0
"[34.86200511593801, 34.90766410274581, 33.882765999941384, 35.77501152544643, 35.14653280581602]",0
"[34.58216424723688, 35.82046937714298, 35.234264800068956, 35.171810456008785, 34.75720064071998]",0
"[35.04248908961409, 34.38972787350826, 35.318010437769935, 34.85022467246271, 35.05361927862185]",0
"[35.480821944879885, 35.11389924433962, 35.10498697818531, 35.11059972192887, 34.70669135844187]",0
"[38.05498144561481, 58.71160537106847, 36.7678745201652, 35.35396352578595, 34.649087392432726]",1
"[34.65288511085083, 34.42364959028326, 35.49290122833138, 34.898328052957055, 35.5599375769924]",0
"[34.68723532692528, 34.824996406868564, 35.0381700348765, 35.36858002746381, 35.024300078319804]",0
"[35.08444990200309, 35.00661102692224, 35.070875088110384, 34.5534119928461, 35.03237084038931]",0
"[34.92536840259541, 34.97727020764566, 35.19693462237466, 34.727728743596444, 34.96619678903815]",0
"[34.8810552468906, 35.166920801989946, 35.31390826040624, 34.61782989505053, 35.23436417244105]",0
"[35.82631332808754, 34.41153722966695, 34.66793124187395, 34.64776896006233, 34.888360911382684]",0
"[35.6491396343816, 35.00534107053887, 34.72212256188511, 35.24872140172223, 34.76007818757166]",0
"[35.44936486480877, 35.122106816097606, 35.55551175854811, 36.7728188697848, 63.34944135803601]",1
"[35.32983385001338, 35.26183206103468, 34.97952462095694, 34.70976115234623, 34.65289252895057]",0
"[34.945609069559765, 34.681092085802746, 35.113070284899365, 34.669561027261075, 35.2484330803356]",0
"[35.382448681649876, 36.11734263739337, 59.02706443524758, 36.914264160556854, 35.46211515443529]",1
"[35.175266538916496, 35.44893132866284, 34.60119208178813, 34.95728240528831, 35.58057170423638]",0
"[34.75278526092737, 34.185119509727684, 34.222964327409414, 33.99742373892958, 34.154334431233266]",0
"[34.83534433472461, 35.51141123313669, 34.82310828819473, 35.129410941440575, 34.95600340393456]",0
"[35.00341957817441, 34.93272046410211, 34.930327862276805, 35.184465639990805, 34.52960693142347]",0
"[35.40405087093389, 35.368007173299105, 34.92197706364964, 35.322157369692874, 34.71946222949713]",0
"[34.78511079044986, 35.062505540108035, 34.92391158996605, 34.82050478693135, 34.73102078448536]",0
"[34.77700211128558, 35.37566749767859, 34.22267063773266, 35.14099774574773, 34.905425219274804]",0
"[37.392637930214356, 59.736595799985075, 35.248554199859434, 35.233858644190974, 35.12970969737937]",1
"[35.008745134650624, 34.81253047348884, 35.34131248878225, 37.46766301723697, 62.690350490192316]",1
"[35.225753142197725, 35.85513122697579, 34.68578640123191, 34.29762974390686, 35.28591583899433]",0
"[35.34108162469011, 35.014144038821904, 34.38448270170214, 34.82084192611355, 35.247194213568136]",0
"[34.926329469738505, 34.95360592581104, 34.929816412535295, 34.6264341377494, 34.786791869566564]",0
"[56.22435964088932, 38.21547454963695, 34.80985084994481, 35.191044072727024, 34.591245622143475]",1
"[35.317811295840436, 34.25073560894588, 35.36824604722198, 34.985852830048515, 35.84424202144029]",0
"[34.47738637086239, 35.03055219206384, 35.14689272555355, 35.4931596769505, 34.83085721544369]",0
"[35.034585762609716, 34.14301330836905, 34.667932454390915, 35.18064638022209, 35.441669730521284]",0
"[34.887305492373756, 35.82254220927932, 35.70409969057964, 34.97573900329007, 34.034598799530485]",0
"[34.288973449677606, 34.688856469349034, 35.44633644316967, 35.12410891511351, 34.16230087351087]",0
"[34.90849366845193, 35.645344549825246, 34.85007812507894, 34.70001215308973, 35.82184964100725]",0
"[35.02136381471934, 34.80833716048557, 35.14006686353131, 35.00686589054963, 34.828343088705964]",0
"[35.48338253142079, 35.446280721113794, 35.336344623256444, 34.958845112970586, 35.45876015055979]",0
"[34.98011896833653, 35.18665730689153, 35.4134747471758, 35.323537744106275, 35.71590187328251]",0
"[35.18051360641607, 34.326376005652705, 34.53593195800709, 35.54004272747269, 34.86748673202695]",0
"[35.15461565805324, 34.65941773738767, 35.40035256947212, 34.84606710046688, 35.58324329544381]",0
"[34.78710639164073, 35.44725335868708, 35.269758441928346, 34.71104323783434, 35.439598533098874]",0
"[34.6393462038096, 34.671013124438296, 35.28868451684508, 34.7498631994136, 34.76246277309819]",0
"[34.86243971631584, 36.44176968246915, 56.216354335291605, 36.61948448889657, 34.972268521323805]",1
"[34.95664317313059, 35.18006220510687, 35.70613404020763, 38.2795149567149, 64.44769128111922]",1
"[35.310967682099545, 34.95249153115876, 34.92040072647851, 35.74658855006085, 34.83242484092875]",0
"[34.80832603394904, 34.21915788510191, 34.439068341818746, 35.18044917549384, 34.7220316395259]",0
"[35.2061655207133, 34.55405157905363, 34.6930760694673, 35.2698282827824, 35.58435695218523]",0
"[35.23698912056961, 35.4791323366885, 35.681837668548965, 35.41603566126164, 34.63262398467999]",0
"[36.97048074132593, 56.93710601340972, 36.68739129353989, 35.18077841492849, 34.36833748584221]",1
"[34.66854880845744, 35.21155189823407, 34.10516539555501, 34.55691499908618, 34.99291267283594]",0
"[34.31224221015219, 35.022848398432835, 34.6801810037233, 34.88336216179967, 34.896406858639786]",0
"[35.075717279023465, 34.77448450616708, 35.03587456292904, 34.75953727974024, 35.222429404030954]",0
"[35.67752364531523, 35.07874791170012, 35.06794770213903, 34.53439681153552, 35.27734649026415]",0
"[34.69677306857751, 34.67646112141115, 35.22297578114321, 35.07241549774315, 35.44287018037962]",0
"[35.57715077139852, 34.784127375119006, 35.05135079606238, 35.70416607343013, 35.386615700091625]",0
"[35.28521962012131, 35.52248242605418, 34.75815881233425, 37.57428114726802, 62.614484057257926]",1
"[35.6483649142487, 34.67752607304711, 34.89933031694743, 35.153086069489746, 34.88440106279607]",0
"[34.843273504076784, 35.273600531272784, 34.858636006853196, 34.284834843520116, 35.144738926335826]",0
"[36.44297612443812, 62.84040127083526, 37.09073355245076, 35.40552898678868, 34.109154947259995]",1
"[34.32026655811108, 34.88966157497554, 35.49158223426028, 35.52388236227306, 34.538006946028254]",0
"[34.928947121606576, 34.39581744996497, 35.404482825509966, 34.40937493579193, 34.94272170199711]",0
"[35.4131935115799, 34.911034388588035, 35.588064137530296, 34.65199671072366, 35.147676187818746]",0
"[35.341312874329496, 34.94411530782357, 35.55452570569853, 35.219251833875276, 34.345020162796665]",0
"[36.583441081615184, 35.259457457636266, 35.042937317529436, 34.44047487253341, 35.032707127522244]",0
"[58.67478243697495, 36.69292214481254, 35.14866811648475, 35.741203794027754, 35.05690054901053]",1
"[35.20540219199542, 35.14898274060458, 34.94060407877624, 34.92663992107199, 35.440400081067395]",0
"[35.31201085413545, 34.74822335837849, 34.554625558810805, 34.97303599002126, 35.46457599266976]",0
"[34.988988245492806, 35.69857403569119, 34.68997188517063, 35.05665621506632, 33.9934784556137]",0
"[34.761732847635884, 34.876351472543256, 35.204375109796835, 35.68426473546845, 35.013977435745495]",0
"[35.58156703264353, 35.264672430586394, 35.394540872084825, 34.81353805726963, 35.553996537459454]",0
"[34.57081428851534, 35.19806344448013, 34.6191751597175, 34.7927417790405, 34.415438558111155]",0
"[36.204984351131, 55.34441002704371, 37.32079784326228, 34.46089402349853, 35.588295942676545]",1
"[35.134888375323385, 35.40322617323031, 35.31409076785388, 34.73405289321312, 34.221981216555186]",0
"[34.63383025270732, 35.49006233970929, 34.57858157051987, 35.32641747372963, 34.75503721074847]",0
"[35.157243697941595, 34.27043205894992, 37.466429910873586, 54.42522261621108, 37.00502162933835]",1
"[35.07594465975324, 35.31922551811958, 34.95922718429456, 35.29734261740555, 34.39617092631038]",0
"[34.5677157230218, 35.29018960179261, 34.984328697516204, 34.908498331511915, 34.928155082139455]",0
"[37.8229681676391, 62.62571364394685, 37.33080410996017, 34.63368326037253, 34.83709918279202]",1
"[35.39398066868768, 35.428500971138355, 36.91004839534538, 53.53090084460356, 37.25972921149397]",1
"[35.29320929268763, 34.240475176272284, 34.553155723024354, 34.796411088870855, 34.93340561804562]",0
"[35.569445771739595, 35.36159966960141, 35.63018716342895, 35.48264315921423, 34.886854579346064]",0
"[34.89346924627251, 35.42758864888051, 35.016148572409136, 34.937202531002676, 34.465918910793924]",0
"[34.95741595137778, 33.88360143732246, 34.81755297794052, 34.60804389933528, 35.277029739015745]",0
"[34.80853105743373, 34.86837938026357, 35.5388421858682, 34.580372901932556, 35.12666355806266]",0
"[34.24189322100941, 35.03589164697786, 35.164106298158735, 35.343948388718765, 34.64052672267254]",0
"[35.12786277677784, 35.127261679871474, 34.992307346360946, 35.060006511491125, 35.185413728692666]",0
"[35.15915216995274, 34.60159564436464, 34.521655395870205, 36.00239211412747, 35.76791691457124]",0
"[36.51973992869066, 52.678375353228006, 36.78699472101227, 35.30053489406419, 35.05615817457894]",1
"[34.62925122431655, 34.92703183745476, 34.80354994488367, 35.053749246415904, 34.892651478351766]",0
"[34.94732974948519, 35.40742098990715, 35.49222327998189, 34.52755873089127, 34.816027958226165]",0
"[34.68368001848993, 35.489488884784045, 34.9762528389806, 35.57959576166329, 34.80896765813731]",0
"[35.01039999767426, 34.4605214212811, 35.52101421459447, 34.8549551649691, 34.405937419469815]",0
"[36.97098054372212, 62.08933417869549, 37.89588804526487, 35.04499509696568, 35.11523126680206]",1
"[35.599243273430815, 34.87960953841787, 35.32298236680211, 35.1248954756052, 34.9226713438104]",0
"[34.16927919123058, 35.37900046693827, 34.798410420343075, 36.64863426738166, 61.045613087686114]",1
"[35.1131982135244, 35.04321232692494, 35.01176704758831, 34.94608274828171, 35.41968731630103]",0
"[35.38648834503134, 35.29036674100833, 36.32843150246815, 34.759909867849075, 34.84819299378645]",0
"[34.594078523656535, 35.174394478518565, 34.72500504277593, 33.92065530333358, 34.51466474966852]",0
"[37.25927282478043, 55.51737689572778, 36.9410305801195, 34.75502314868626, 34.94425927781963]",1
"[34.708585004230116, 35.21246551738249, 35.00160033679015, 35.128506365793534, 34.70991402970186]",0
"[35.61461453120844, 34.99984999649666, 35.51741984826533, 34.824400934533486, 35.236015785664335]",0
"[34.728246486801105, 34.61963629957969, 34.718259867390614, 34.98165332557209, 34.91250661641292]",0
"[35.61568280386202, 36.131623524357, 55.03724172613147, 37.74866363358686, 35.24351346356325]",1
"[34.24743565313358, 36.29041110802803, 51.71089335590159, 35.73369825567868, 34.85217502986502]",1
"[34.99301801926553, 35.29256100685003, 35.38179826661907, 35.03829870844405, 35.413380321305695]",0
"[34.94149069015546, 34.65700127010409, 37.39644740350015, 51.94359559424544, 35.29677943954072]",1
"[35.271123028447924, 34.557370773043246, 34.85631036171571, 35.20215276110117, 35.48717636032054]",0
"[34.223727614254045, 34.677528715218614, 35.01962467694924, 34.76156546616494, 35.344649240536484]",0
"[34.16544377381739, 35.14472065622842, 35.17036807060113, 35.01963215885665, 35.44089469303414]",0
"[35.826059821253224, 60.65679730931926, 37.408869642230044, 35.29022020723149, 34.87031831220592]",1
"[35.32573725165957, 35.31218797190335, 34.41437857056776, 34.93820352247579, 34.963027072583365]",0
"[34.904849893817264, 34.697734893959215, 35.740575157829404, 35.08363867063021, 35.62200639773324]",0
"[34.77234053859521, 34.57528129547566, 35.05289911156791, 34.77470535835302, 35.95605838493341]",0
"[35.09816913967565, 35.46103965400424, 34.9103056911506, 34.869575477695946, 34.98763543295834]",0
"[35.14228690463041, 35.33983473803793, 34.951138393955326, 34.72765937039307, 34.572849369405375]",0
"[34.969328254917706, 35.2291850903827, 35.1831788305239, 34.99287298037842, 34.759944480305755]",0
"[35.05870610535476, 35.22872195154599, 34.98527293739319, 35.044947395516886, 34.93979826973982]",0
"[35.36619970722503, 34.82471989306453, 35.074214248386625, 35.157771212004846, 35.29020902330142]",0
"[35.59835390635379, 35.270181523681686, 35.2396852941837, 34.41190516439148, 35.24256157772153]",0
"[35.917487044942874, 34.66799560577293, 34.592192060237714, 34.91413846310959, 35.40849925043956]",0
"[35.20990019691873, 36.44965286637278, 60.88285986915132, 37.1973536984549, 35.26904789924859]",1
"[35.97155078780919, 35.402274672124484, 35.14142688640105, 35.24589051033098, 34.86040632363378]",0
"[34.60889079938681, 38.008375861859975, 64.74342357009559, 35.66461141022766, 34.79105741394572]",1
"[34.852297639268414, 35.10625696100571, 34.89581357645385, 35.17803868413783, 35.039244898488796]",0
"[35.42413100366272, 34.315532936150206, 35.66284985521717, 35.56706960519974, 35.02012683445886]",0
"[35.26012928570094, 35.24261936016532, 34.70508414889603, 35.065866026339684, 35.31126967163983]",0
"[35.123926703443, 35.4205283071395, 35.037998444027664, 35.032300395449205, 34.69287850159017]",0
"[34.85418478011734, 34.816112927584776, 35.682193407102176, 35.09620222085894, 34.60022939945673]",0
"[35.159439355264574, 34.92319852134758, 33.77849424782948, 35.19194094846153, 34.378920486729264]",0
"[35.2313857681025, 34.615494560387795, 34.416670215842736, 35.19773666039295, 34.402322493890125]",0
"[34.82132031860915, 35.08175095796847, 35.24489300925122, 35.29795381457626, 34.98548748457852]",0
"[34.66704186092453, 35.76952617038837, 34.75760747178456, 35.7214355925946, 34.81899001068639]",0
"[35.464514277336725, 35.427986215580056, 34.58178630104924, 35.14211380280249, 35.30215681167634]",0
"[35.280392848609296, 37.42699839069931, 51.462006205671486, 36.02310100499327, 34.53127464831155]",1
"[35.3936048947761, 34.776127431232574, 35.551903276642484, 35.24098036049585, 34.642941330594844]",0
"[34.93552067218351, 34.88544603384193, 34.651644940139214, 35.200571835957334, 34.808554370455525]",0
"[35.65267660545232, 35.34435649640737, 34.64792437418337, 34.992399791381075, 34.90929592313216]",0
"[34.37419685847552, 35.372502271507244, 35.37992352608453, 35.37020048588096, 34.81720485696258]",0
"[38.1218639203, 54.66712602911501, 38.16105960287963, 35.725011126047015, 35.056043952521904]",1
"[34.432340489142206, 34.87323952138866, 35.2563943465534, 35.48794975161225, 34.54648318584257]",0
"[34.92378068093542, 35.09333565050405, 35.17399932970514, 35.364169441201234, 34.62062413741848]",0
"[34.83060868110979, 35.40318659104023, 35.15693396444972, 35.179352260312676, 35.4501293994657]",0
"[35.041621355883635, 35.21120136882873, 34.87417445523309, 34.46199599189265, 34.48189684588756]",0
"[35.02972822147305, 34.920175712801516, 34.73815873259001, 35.127205718567666, 34.6438913791567]",0
"[35.04453490655319, 34.99219097667189, 34.6640044341551, 34.08071764778486, 35.582610954589114]",0
"[36.66278252939108, 54.96095444124535, 37.564540654842936, 35.15751509249973, 34.908743723719816]",1
"[35.23213204504129, 34.610692965900306, 35.07006709168723, 34.978606522905935, 34.92677520521521]",0
"[54.2739116955756, 37.664273337841635, 35.373088565475236, 34.78795207991998, 34.83710399039523]",1
"[35.064225996697004, 34.9519400097485, 35.15424091693773, 35.28731629430174, 35.51647556114035]",0
"[34.95342234069133, 34.089080801335854, 34.972150184217945, 35.14154817075313, 34.9252179933869]",0
"[34.93870553529317, 34.02699659494115, 35.20319373464615, 34.870387068392, 34.39556935683592]",0
"[34.65143117376202, 34.654068023413764, 35.24349963293668, 35.224655238609365, 35.6059001529929]",0
"[35.25916992492517, 34.45934024587293, 34.436316289411124, 35.45229014181165, 35.62667448043846]",0
"[36.20402664051976, 52.91701759124295, 35.68111984465081, 34.22243129666729, 34.53039052938286]",1
"[34.857124989758795, 34.79144944583678, 34.90795437461949, 34.80359422692035, 35.27172045797987]",0
"[35.571018780530935, 35.014478985104176, 35.811998994976186, 34.74623811587966, 34.78995864242442]",0
"[35.15509386509718, 34.85808049519573, 35.470820902310656, 34.743556873920845, 35.52907759404346]",0
"[35.07767000651751, 36.026181112286714, 34.81435403774072, 34.918922436917015, 35.0582607269146]",0
"[34.12758881316722, 35.240906051015415, 35.19233844530607, 35.043727345562175, 34.38224168744532]",0
"[37.20233893279801, 52.35985711284076, 36.53359136681762, 35.63778585272889, 34.64182339042003]",1
"[34.587680788896485, 34.891224480126176, 34.209707943250464, 34.764427529582505, 35.340715855006124]",0
"[35.653841000547764, 35.111662181453866, 35.656221459422106, 35.164349175199625, 35.076545566055565]",0
"[34.93142352500899, 35.074774818308796, 34.898058821102445, 34.94363569904394, 34.73524326602413]",0
"[35.1036127607168, 35.00577936600711, 34.40816798615356, 34.9037197992992, 34.6577314430422]",0
"[34.18071981650369, 35.19355345973653, 35.62347530180895, 35.94789207562596, 35.624967811797184]",0
"[34.65167937895678, 35.47009799708322, 35.447959601422454, 34.20486818744215, 35.34451540615658]",0
"[35.25087081415661, 35.065123300122714, 35.11544668627072, 35.02332295309763, 35.65277433946201]",0
"[34.83928446646725, 34.92002424271149, 35.002955593482476, 35.11026563006003, 34.29470007960351]",0
"[35.555189523819585, 35.090479902737265, 35.22764983832991, 35.07892639669912, 34.92542349148645]",0
"[34.857903394601216, 35.03844565693581, 35.060820936373375, 35.46210470216726, 35.13842309851387]",0
"[34.94660453225357, 35.79462604437696, 34.48822953747459, 34.4639163296386, 35.14184082084513]",0
"[34.91505068580375, 34.290161604710065, 34.875108135448876, 34.71573769172769, 35.45245144016999]",0
"[34.751499291827905, 35.42024585954691, 35.18391268008407, 34.91746763518205, 35.00846873143526]",0
"[35.17146349585355, 34.07678459454868, 37.22936722581279, 61.97214158126561, 37.801923050525204]",1
"[34.723492417295134, 35.45702556800209, 33.99403015023769, 35.325850005993715, 35.11044110156931]",0
"[34.901193403645706, 34.951644275805464, 34.89577576375106, 35.16920128383331, 34.94630057414787]",0
"[34.28490491663286, 34.92567565728787, 35.89388869505036, 35.01873848194332, 35.116315178587485]",0
"[34.82477819700495, 35.069621786464694, 35.071178223184646, 34.895519232217396, 35.345305359574965]",0
"[34.63076881716627, 34.94792191671933, 35.20202150091684, 34.89319832826323, 34.5104481397699]",0
"[35.22330568742706, 34.60713561678853, 35.8588986847556, 64.31342097678217, 37.339115472486846]",1
"[34.828245610714795, 34.810164053168236, 35.27239157092562, 35.70504356056666, 34.856994314392395]",0
"[35.20906206963925, 34.85783460380314, 35.039576898412996, 35.45110053798009, 35.02011729561082]",0
"[34.6737810595181, 36.51019365892675, 55.720261125948625, 37.21956815746288, 35.343204580836435]",1
"[34.456481263559226, 34.585084332258006, 34.63018351536958, 34.30023783130831, 35.53036907339539]",0
"[34.98544854249436, 35.76031172788953, 34.4302665299276, 38.30374359472879, 54.47796511483834]",1
"[34.83705212593025, 34.60441421716339, 34.62005445620493, 34.47050183550858, 35.08653318304819]",0
"[34.474319586989274, 34.90327925387085, 34.99631938230264, 35.266644274162445, 35.04015668895982]",0
"[35.12853033338504, 35.20576462422653, 34.99309965389611, 35.145339167429704, 34.60811192342201]",0
"[34.68981182611843, 35.75900432285574, 34.995306314249376, 34.71579973013322, 35.551951960428376]",0
"[34.93726295579409, 34.7414035892864, 34.42040338059118, 35.31179674642088, 34.565479637115644]",0
"[34.784386967991985, 35.25763999517717, 35.07345342970325, 34.96542925046327, 34.91440488737539]",0
"[35.458370941653726, 35.89210965912067, 34.78049566833904, 35.22756163620109, 35.771520122141645]",0
"[35.43162282198029, 34.72526734968864, 34.82772774917042, 34.760812582999904, 34.63462263613809]",0
"[34.750437938932535, 35.10475019157614, 34.765188397938076, 35.350479945060144, 35.04930218542912]",0
"[34.841149726857545, 35.3544359680828, 35.12758873028818, 35.105947050314306, 35.41601538181379]",0
"[35.22930617941002, 34.95644061326478, 35.375021937147096, 35.12372712088187, 36.16692350514924]",0
"[35.43947540041885, 35.46128504854989, 35.516397348651395, 35.03193584450251, 35.52515816461189]",0
"[35.009342811027864, 34.667530638725836, 34.774405416635936, 35.21118022173302, 34.375552043736526]",0
"[35.083341168581704, 34.70865996582105, 35.28728655302474, 34.70153051573706, 35.748921304910134]",0
"[35.30712725159635, 34.492456416330484, 35.70350374003353, 34.909098996255864, 34.70900955611208]",0
"[34.590480273469524, 35.22710589586226, 35.60180874666587, 34.76862921098734, 34.60095166326478]",0
"[34.54411996478689, 35.59856212454409, 35.66829168868437, 34.86061154395228, 35.215082034976355]",0
"[34.998837819889786, 34.9757478790883, 35.38560905288697, 35.176382400272175, 35.13179598670459]",0
"[34.882968425856035, 35.32624014388435, 34.88719763903561, 35.019968995227146, 35.087790997510176]",0
"[34.51953773789862, 34.88036201329554, 34.874958794533974, 35.040481234599326, 34.55527276368979]",0
"[34.525379319622, 35.649384841317236, 35.46257744255746, 35.35561574268084, 35.729927514635996]",0
"[35.167838095019825, 34.96356850602913, 35.19287029937338, 34.24828520341993, 34.560766741831586]",0
"[35.30345482520858, 35.01304619326267, 34.488945465967504, 35.263414748623916, 35.39956065959731]",0
"[35.267151824545735, 34.98788128822448, 34.66558020797905, 35.0430379752674, 35.17076973153027]",0
"[34.856564480933876, 35.24121436405068, 35.12577277350099, 35.1332458201886, 34.18698408447136]",0
"[35.432437197208436, 35.689756687980754, 34.839012950172155, 34.40924040752581, 35.25557172776792]",0
"[34.813736107026465, 34.61319505159672, 35.48708650235014, 34.446648259005535, 35.286971448814825]",0
"[62.94997191838291, 38.50506482703991, 35.20662098641695, 34.89704200139727, 35.059747983245956]",1
"[35.232834954993336, 35.33195775097244, 35.33111657131689, 35.21869210636657, 34.80904733510693]",0
"[35.26563181901095, 34.4754702471962, 35.4016372418406, 35.34920233492621, 35.55763241700017]",0
"[34.76448815713259, 35.074484679387844, 35.34331440035288, 35.1271431516409, 34.82933308638462]",0
"[35.12293242681882, 35.027212813867365, 35.3982815765642, 34.74861497889808, 35.13579512222759]",0
"[35.11717245027223, 35.302931249718824, 34.97084310191525, 35.050925854228836, 34.97162013003965]",0
"[35.01362634502154, 35.003343665102996, 34.869302179447295, 36.13091991762386, 34.662435404824876]",0
"[34.53063603746716, 34.68174935488435, 36.41194199631639, 60.76187357897483, 37.60248472772374]",1
"[35.675353513198004, 35.094929745585276, 34.00071491429613, 35.15374374122986, 34.47573817374984]",0
"[34.799719369925, 34.54011088474354, 35.17024903184441, 34.74935702216118, 35.30884787097628]",0
"[62.31007696027181, 37.160869177263166, 35.032224148240836, 35.366967906560895, 34.85114723364955]",1
"[35.366247554197294, 34.99227359732497, 35.10775898112195, 35.31969634845421, 35.53261300943157]",0
"[35.20832487955109, 35.023348753585196, 35.28827437390487, 34.38182094503208, 35.655584641261584]",0
"[34.469803493722004, 35.36148377328718, 34.774334427781845, 35.20290063381575, 34.9533730303773]",0
"[35.121435903627514, 34.679685184173294, 34.13574879828013, 37.48209697236738, 62.38876114270314]",1
"[34.74054569295937, 34.70987074528718, 35.79376449955405, 34.767123024749466, 35.13072519164762]",0
"[34.535822722452224, 35.60923868557119, 34.77749281255349, 33.959743276354764, 36.08477994955806]",0
"[34.560740546977115, 35.5235729337126, 35.29322902421698, 35.26087185432601, 34.90740606785167]",0
"[35.07567950073004, 35.489574403566756, 34.87962771352024, 35.10052385283451, 35.37131608597003]",0
"[35.03335553489436, 34.830006721960615, 35.58067156332717, 35.13667543954916, 34.94993093416519]",0
"[34.68964207041125, 34.59776111121761, 35.35751364215242, 35.37970723449335, 34.131715576369174]",0
"[34.753803344229695, 35.38595525474785, 35.96972264770581, 35.86014152303716, 35.37674647009685]",0
"[35.549332982050444, 34.7890322172132, 35.309813809411594, 34.50513411962745, 34.77524946149246]",0
